data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
6860816,275,PSE6818,6818,2020-02-08,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2009-),,8,Hamas Movement,,3,38,Middle East,Palestine,Gaza Strip,North Gaza,,Bayt Lahya,31.5464,34.4951,2,AFP,International,"On February 8, Israeli tanks shelled two Hamas positions in the northern Gaza Strip in retaliation to a projectile fired at Israel earlier. No injuries were reported.",0,1581360177,PSE
6860920,275,PSE6821,6821,2020-02-08,2020,2,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Hebron,,Hebron,31.5294,35.0938,2,BBC News,International,"As reported on February 8, Palestinians clashed with Israeli forces in several areas of Hebron. [size=no report]",0,1581360177,PSE
6860921,275,PSE6820,6820,2020-02-08,2020,2,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,BBC News,International,"As reported on February 8, Palestinians clashed with Israeli forces in Qalqiliyah. 8 Palestinians were injured, including 5 with live bullets. [size=no report]",0,1581360177,PSE
6860923,275,PSE6819,6819,2020-02-08,2020,2,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Jenin,,Jenin,32.4594,35.3009,1,BBC News,International,"As reported on February 8, Palestinians clashed with Israeli forces in southwestern Jenin. 5 Palestinians were injured by rubber bullets. [size=no report]",0,1581360177,PSE
6860819,275,PSE6817,6817,2020-02-07,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Ramallah,,Al Bireh,31.9053,35.2150,1,Al Ghad (Jordan),Regional,"On January 7, several Palestinians were injured in al Bireh, presumably during clashes with Israeli forces. [size=no report]",0,1581360177,PSE
6861077,275,PSE6815,6815,2020-02-07,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Qalqilya,,Azzun,32.1750,35.0575,1,MENAFN,Regional,"On February 7, clashes erupted between Palestinians and Israeli forces in the town of Azzun. Israeli forces used live ammunition against Palestinians and injured at least 3, one severely. [size=no report]",0,1581360177,PSE
6860826,275,PSE6816,6816,2020-02-07,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Jericho,,Jericho,31.8667,35.4500,1,Al Ghad (Jordan),Regional,"On January 7, serval Palestinians were injured in Jericho, presumably during clashes with Israeli forces. [size=no report]",0,1581360177,PSE
6860840,275,PSE6813,6813,2020-02-07,2020,1,Protests,Protest with intervention,Protesters (Palestine),High Follow-Up Committee; Christian Group (Palestine); PLO: Palestinian Liberation Organisation; DFLP: Democratic Front for the Liberation of Palestine; Colonization and Wall Resistance Commission; Protesters (Israel); Protesters (International),6,Military Forces of Israel (2009-),,8,68,Middle East,Palestine,West Bank,Ramallah,,Bilin,31.9284,35.0720,1,Al Ittihad,Regional,"On February 7, Israeli forces suppressed a march in Bilin, west of Ramallah by firing tear-gas at Palestinian protesters. The march started from the centre of Bilin and moved towards the area of Abu Limon, near the separation wall. Demonstrators held up pictures of activist Jonathan Pollack and Palestinian flags, and denounced the Deal of the Century. In attendance were the chair of the Follow-up Committee, a Roman Catholic priest, members of the PLO and the DFLP, activists of the Popular Resistance Committees in the West Bank, employees of the Colonization and Wall Resistance Commission, as well as Israeli and International activists. [size=no report]",0,1581360177,PSE
6860792,275,PSE6811,6811,2020-02-07,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Qalqilya,,Kafr Qaddum,32.2216,35.1447,1,Al Ghad (Jordan); Al Nour,Regional,"On February 7, Palestinians and Israeli forces clashed in Kafr Qaddum, near Qalqiliyah. 31 Palestinians were injured, 3 by rubber bullets. [size=at least 31]",0,1581360177,PSE
6860793,275,PSE6812,6812,2020-02-07,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Tulkarm,,Qaffin,32.4327,35.0827,2,AFP; Jerusalem Post; Al Ghad (Jordan); Arutz Sheva,Regional-International,"On February 7, clashes broke out between Palestinians and Israeli forces near Qaffin town in Tulkarm. It was reported that Palestinians hurled rocks and Molotov cocktails at soldiers, who responded by opening fire. A 19 year old was shot in the neck and killed. Two female soldiers were lightly injured. [size=no report]",1,1581360177,PSE
6861055,275,PSE6814,6814,2020-02-07,2020,1,Battles,Armed clash,Military Forces of Israel (2009-),,8,Hamas Movement,,3,38,Middle East,Palestine,Gaza Strip,North Gaza,,Jabalya,31.5272,34.4835,2,Jerusalem Post,Regional,"On February 7, Israeli forces opened fire at a Hamas soldier near Jabalya and severely injured him.",0,1581360177,PSE
6860820,275,PSE6805,6805,2020-02-06,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2009-),,8,,,0,80,Middle East,Palestine,Gaza Strip,Rafah,,Rafah,31.2870,34.2595,1,Al Ghad (Jordan),Regional,"On February 6, Israeli warplanes bombed a land in Rafah in southern Gaza with several missiles. No injuries were reported.",0,1581360177,PSE
6860821,275,PSE6806,6806,2020-02-06,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2009-),,8,,,0,80,Middle East,Palestine,Gaza Strip,Gaza,,Gaza,31.5000,34.4667,2,Al Ghad (Jordan),Regional,"On February 6, Israeli warplanes bombed a Sanitation ferry near the al Shati refugee camp, west of Gaza City. No injuries were reported.",0,1581360177,PSE
6860830,275,PSE6802,6802,2020-02-06,2020,1,Battles,Armed clash,Unidentified Armed Group (Palestine),,3,Military Forces of Israel (2009-),,8,38,Middle East,Palestine,West Bank,Al Quds,,Al Quds-Silwan,31.7684,35.2381,1,Al Ghad (Jordan),Regional,"On February 6, a Palestinian carried out a car ramming attack in the Jerusalem's Silwan neighbourhood and injured 14 Israelis. Amongst the injured were at least 12 Israeli soldiers.",0,1581360177,PSE
6860874,275,PSE6810,6810,2020-02-06,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Qalqilya,,Azzun,32.1750,35.0575,1,Al Nour,Regional,"On February 6, Palestinians clashed with Israeli soldiers at the northern entrance to the village of Azzun, east of Qalqiliyah. [size=no report]",0,1581360177,PSE
6860912,275,PSE6807,6807,2020-02-06,2020,1,Battles,Armed clash,Unidentified Armed Group (Palestine),,3,Military Forces of Israel (2009-),,8,38,Middle East,Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,AP,International,"On February 6, a Palestinian opened fire at Israeli soldiers in the City of Qalqiliyah. Israeli forces responded with opening fire at the Palestinian. An Israeli soldier was lightly injured.",0,1581360177,PSE
6860922,275,PSE6809,6809,2020-02-06,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Bethlehem,,Bethlehem,31.7049,35.2038,1,BBC News,International,"On February 6, clashes broke out between Palestinians and Israeli forces carrying out a search in the City of Bethlehem. Israeli forces used rubber bullets and tear gas against Palestinians. 75 Palestinians suffered from tear gas inhalation and 4 were injured by rubber bullets. [size=at least 75]",0,1581360177,PSE
6860789,275,PSE6803,6803,2020-02-06,2020,1,Battles,Armed clash,Unidentified Armed Group (Israel),Arab Ethnic Group (Israel),3,Police Forces of Israel (2009-),,8,38,Middle East,Palestine,West Bank,Al Quds,,Al Quds-Old City,31.7767,35.2342,1,Times of Israel; Al Ghad (Jordan),Regional,"On February 6, an Arab citizen of Israel opened fire at Israeli Police officers near the al Aqsa Mosque in the Old City of Jerusalem. Israeli forces shot the attackers and killed him. One Policeman was lightly injured.",1,1581360177,PSE
6860790,275,PSE6804,6804,2020-02-06,2020,1,Battles,Armed clash,Military Forces of Israel (2009-),,8,Unidentified Armed Group (Palestine),Police Forces of Palestine (1994-) West Bank,3,38,Middle East,Palestine,West Bank,Jenin,,Jenin,32.4594,35.3009,1,Al Ghad (Jordan); Times of Israel,Regional,"On February 6, Israeli forces shot a Palestinian police officer during riots near a demolition site in Jenin. Israeli forces said they were shot at by sniper fire during the riot and returned fire. A Palestinian police officer was shot and moderately injured.",0,1581360177,PSE
6860791,275,PSE6808,6808,2020-02-06,2020,1,Battles,Armed clash,Unidentified Armed Group (Palestine),,3,Military Forces of Israel (2009-),,8,38,Middle East,Palestine,West Bank,Ramallah,,Dolev,31.9261,35.1339,2,Times of Israel; Xinhua,Regional-International,"On February 6, a drive-by shooting by a Palestinian assailant who fled the scene lightly injured an Israeli soldier near the Dolev Settlement northwest of Ramallah City.",0,1581360177,PSE
6861056,275,PSE6798,6798,2020-02-05,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Ramallah,,Ramallah,31.8996,35.2042,1,Jerusalem Post,Regional,"On February 5, Palestinian youths hurled Molotov Cocktails and stones at an Israeli military vehicle as troops were withdrawing from Ramallah. [size=no report]",0,1581360177,PSE
6860818,275,PSE6793,6793,2020-02-05,2020,1,Strategic developments,Change to group/activity,Military Forces of Israel (2009-),,8,,,0,80,Middle East,Palestine,Gaza Strip,Gaza,,Gaza,31.5000,34.4667,3,Al Ghad (Jordan),Regional,"Security measures: As of February 5, Israeli forces restricted the fishing zone in the Gaza Strip to 10 miles and in other areas to 6 miles.",0,1581360177,PSE
6860823,275,PSE6792,6792,2020-02-05,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2009-),,8,Hamas Movement,,3,38,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis,31.3402,34.3063,1,Al Ghad (Jordan),Regional,"On February 5, an Israeli reconnaissance plane fired a missile at a site belonging to the Al-Qassam Brigades (armed wing of Hamas), in the city of Khan Yunis in the southern Gaza Strip. Later warplanes returned and fired 4 additional missiles. No injuries were reported.",0,1581360177,PSE
6860825,275,PSE6795,6795,2020-02-05,2020,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),Students (Palestine),5,58,Middle East,Palestine,West Bank,Bethlehem,,Tuqu,31.6365,35.2145,1,Al Ghad (Jordan),Regional,"On February 5, Israeli forces fired tear gas and sound bombs at Palestinians students on their way to school in Tuqu, east of Bethlehem City. Clashes erupted and students hurled rocks and empty bottles at soldiers. A number of students suffered from tear-gas inhalation. [size=no report]",0,1581360177,PSE
6860828,275,PSE6794,6794,2020-02-05,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Hebron,,Hebron,31.5294,35.0938,1,Al Ghad (Jordan),Regional,"On February 5, Israeli forces clashed with Palestinian youths near a checkpoint in Hebron City. Palestinians hurled rocks and Molotov cocktails at soldiers, who opened fire in response. A 17 year-old was killed with a shot to his heart. [size=no report]",1,1581360177,PSE
6861109,275,PSE6801,6801,2020-02-05,2020,1,Strategic developments,Looting/property destruction,Military Forces of Israel (2009-),,8,Civilians (Palestine),,7,78,Middle East,Palestine,West Bank,Ramallah,,Deir Qaddis,31.9486,35.0444,1,Palestine News and Information Agency,National,"Property destruction: On February 5, Israeli Military forces demolished a shack in the Deir Qaddis village, north of Ramallah. A second shack was seized.",0,1581360177,PSE
6861111,275,PSE6800,6800,2020-02-05,2020,1,Violence against civilians,Attack,Military Forces of Israel (2009-),,8,Civilians (Palestine),Fishermen (Palestine),7,78,Middle East,Palestine,Gaza Strip,North Gaza,,Coast of North Gaza,31.5839,34.4659,2,Palestine News and Information Agency,National,"On February 5, Israeli forces opened live fire at Palestinian fishermen off the Sudanese (Sudanyia) coast in northern Gaza. No injuries were reported.",0,1581360177,PSE
6861127,275,PSE6799,6799,2020-02-05,2020,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Al Quds,,Kokhav HaShahar,31.9667,35.3500,2,Times of Israel,Regional,"On February 5, Israeli forces clashed with dozens of Israeli Settlers when they attempted to remove their tents in Maale Shlomo; an illegal outpost near the Kochav Hashahar settlement. Three Israelis were arrested. [size=dozens]",0,1581360177,PSE
6860875,275,PSE6791,6791,2020-02-05,2020,1,Violence against civilians,Attack,Military Forces of Israel (2009-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Middle East,Palestine,West Bank,Hebron,,Mukhayyam al Arrub,31.6230,35.1371,1,Al Nour,Regional,"On February 5, Israeli forces stormed the al Arrub refugee camp in Hebron and hurled tear-gas canisters at the homes of Palestinian residents. Dozens of Palestinians, including children suffered from tear-gas inhalation.",0,1581360177,PSE
6860787,275,PSE6796,6796,2020-02-05,2020,1,Riots,Mob violence,Rioters (Palestine),Police Forces of Palestine (1994-) West Bank,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Jenin,,Jenin,32.4594,35.3009,1,Al Ghad (Jordan); Times of Israel,Regional,"On February 6, Israeli forces stormed Jenin City in order to demolish a Palestinian-owned house. Clashes erupted between residents and Israeli soldiers. Palestinians hurled rocks at crude explosives at Soldiers who responded by opening fire. A 19 year-old Palestinian was shot and killed and 4 others were wounded. It was not immediately clear if the police officer was taking part in the clashes or was caught in the crossfire. [size=no report]",1,1581360177,PSE
6860788,275,PSE6797,6797,2020-02-05,2020,1,Strategic developments,Looting/property destruction,Military Forces of Israel (2009-),Police Forces of Israel (2009-); Police Forces of Israel (2009-) Shin Bet,8,Civilians (Palestine),,7,78,Middle East,Palestine,West Bank,Jenin,,Jenin,32.4594,35.3009,1,Al Ghad (Jordan); Times of Israel,Regional,"Property destruction: On February 5, Israeli Military, Border Police and Shin Bet demolished the house of a Palestinian prisoner in Israeli jail in the City of Jenin.",0,1581360177,PSE
6861074,275,PSE6788,6788,2020-02-04,2020,1,Riots,Mob violence,Rioters (Palestine),Refugees/IDPs (Palestine),5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Jericho,,Mukhayyam Aqabat Jabr,31.8399,35.4408,1,MENAFN,Regional,"On February 4, Israeli forces stormed the Aqabat Jabr refugee camp in Jericho and clashed with Palestinians youths. Israeli forces fired tear gas, grenades and rubber bullets at Palestinians, injuring two. [size=no report]",0,1581360177,PSE
6861075,275,PSE6789,6789,2020-02-04,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Hebron,,Hebron,31.5294,35.0938,1,MENAFN,Regional,"On February 4, Israeli forces fired tear-gas at Palestinians in Hebron City as they stormed the town and clashes broke out with Palestinians. Several Palestinians were injured. [size=no report]",0,1581360177,PSE
6861110,275,PSE6790,6790,2020-02-04,2020,1,Violence against civilians,Attack,Military Forces of Israel (2009-),,8,Civilians (Palestine),,7,78,Middle East,Palestine,West Bank,Jenin,,Qabatiyah,32.4104,35.2809,2,Palestine News and Information Agency,National,"On February 4, Israeli forces assaulted a Palestinian in Jenin at a checkpoint near Tubas. The Palestinian from Qabatiya sustained bruises to his head and back.",0,1581360177,PSE
6860817,275,PSE6787,6787,2020-02-03,2020,1,Protests,Peaceful protest,Protesters (Israel),,6,,,0,60,Middle East,Palestine,West Bank,Tubas,,Bardalah,32.3863,35.4808,2,AFP,International,"On February 3, Israeli Settlers drove through the Jordan Valley on tractors and in their vehicles and demanded that the annexation of the Jordan Valley be immediate. Later, hundreds of protesters gathered in the settlement of Mehola, near Bardalah. [size=hundreds]",0,1581360177,PSE
6860873,275,PSE6784,6784,2020-02-03,2020,2,Riots,Violent demonstration,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Qalqilya,,Jayyus,32.2013,35.0342,1,Al Nour,Regional,"As reported on February 3, Palestinians demonstrating against the Deal of the Century clashed with Israeli forces in the village of Jayyus northeast of Qalqiliyah. [size=no report]",0,1581360177,PSE
6860786,275,PSE6785,6785,2020-02-03,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Police Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Hebron,,Hebron,31.5294,35.0938,1,Jerusalem Post; Times of Israel,Regional,"On February 3, Border Police were called to disperse dozens of Palestinian rioters hurling rocks and Molotov cocktails at officers in the City of Hebron. A border Policeman was lightly injured by a Molotov Cocktail and three Palestinians were injured by rubber bullets. [size=dozens]",0,1581360177,PSE
6861054,275,PSE6786,6786,2020-02-03,2020,1,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Tulkarm,,Tulkarm,32.3104,35.0286,1,Jerusalem Post,Regional,"On February 3, Palestinians clashed with Israeli security forces in Tulkarm City. [size=no report]",0,1581360177,PSE
6860872,275,PSE6782,6782,2020-02-02,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2009-),,8,Hamas Movement,,3,38,Middle East,Palestine,Gaza Strip,North Gaza,,Bayt Lahya,31.5464,34.4951,2,Al Nour,Regional,"On February 2, Israeli aircrafts bombed several Hamas positions in the northern Gaza Strip in retaliation to recent attacks on Israel. One target hit was north of Bayt Lahya, and it included underground facilities used by Al-Qassam Brigades (armed wing of Hamas). No injuries were reported.",0,1581360177,PSE
6860785,275,PSE6783,6783,2020-02-02,2020,1,Riots,Violent demonstration,Rioters (Palestine),,5,Military Forces of Israel (2009-),,8,58,Middle East,Palestine,West Bank,Hebron,,Hebron,31.5294,35.0938,1,Al Nour; MENAFN; Jerusalem Post,Regional,"On February 2, dozens Palestinians demonstrating against the Deal of the Century clashed with Israeli forces at the northern entrance to Hebron. Palestinians hurled rocks at Security forces who responded by using tear gas and stun grenades. A soldier was hit by a Molotov Cocktail. [size=dozens]",0,1581360177,PSE
6861073,275,PSE6781,6781,2020-02-01,2020,1,Violence against civilians,Attack,Settlers (Israel),,3,Civilians (Palestine),,7,37,Middle East,Palestine,West Bank,Hebron,,Hebron,31.5294,35.0938,1,MENAFN,Regional,"On February 1, an armed group of Israeli Settlers from the Ramat Yishai settlement stopped a Palestinian family in their car near a military checkpoint in Hebron City and assaulted them. The family suffered bruises and material damage to their car. It was reported that an Israeli soldier observed the attack, but did not intervene.",0,1581360177,PSE
6766703,275,PSE6778,6778,2020-02-01,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2009-),,8,Hamas Movement,,3,38,Middle East,Palestine,Gaza Strip,Gaza,,An Nusayrat,31.4486,34.3925,1,Al Ghad (Jordan),Regional,"On February 1, Israeli aircrafts bombed a Hamas position in the Nuseirat camp, east of Deir al Balah in the central Gaza Strip with a number of rockets. No injuries were reported.",0,1580753124,PSE
